Facility ID,casemixindex,cases,MSPB-1 Baseline Rate,MSPB-1 Performance Rate,MSPB-1 Achievement Points,Hospital Ownership,Hospital Ownership2,Ownership 3,Hospital overall rating,Total Number of Discharges,Sum Predicted Readmissions,Sum Expected Readmissions,Total Excess Readmission Ratio
10001,2.0375,"4,837",1.020251,1.016841,0,Government - Hospital District or Authority,Government,Hospital District or Authority,3,1880,352.047098,347.16614,1.0141
10005,1.6854,"1,963",1.011867,0.95781,2,Government - Hospital District or Authority,Government,Hospital District or Authority,2,753,126.92958,132.174059,0.9603
10006,1.9148,"3,751",1.016924,0.994638,0,Proprietary,Proprietary,,1,1990,321.814713,308.209347,1.0441
10007,1.5171,490,1.110418,1.016687,0,Voluntary non-profit - Private,Voluntary non-profit,Private,2,123,24.172068,23.083575,1.0472
10011,2.0942,"2,525",1.029416,0.993673,0,Voluntary non-profit - Private,Voluntary non-profit,Private,2,946,162.831084,164.750731,0.9883
10012,1.6736,665,0.977056,0.997522,0,Proprietary,Proprietary,,3,320,50.78405,51.250258,0.9909
10016,2.0721,"1,919",1.043276,1.017997,0,Voluntary non-profit - Private,Voluntary non-profit,Private,4,638,119.556806,120.79994,0.9897
10019,1.5112,"2,079",1.089104,1.054691,0,Government - Hospital District or Authority,Government,Hospital District or Authority,1,975,141.005189,139.784655,1.0087
10021,1.6298,339,1.073415,1.008424,0,Government - Hospital District or Authority,Government,Hospital District or Authority,3,49,7.986314,7.454664,1.0713
10023,2.2346,"3,479",1.02222,1.063343,0,Government - Hospital District or Authority,Government,Hospital District or Authority,2,1124,175.202606,177.258776,0.9884
10024,2.0781,"2,647",1.028768,1.038753,0,Voluntary non-profit - Private,Voluntary non-profit,Private,1,1015,183.570306,180.180013,1.0188
10033,2.6368,"11,007",0.976693,0.979236,1,Government - State,Government,State,3,1853,336.934155,327.379285,1.0292
10035,1.5692,"2,402",0.991098,0.958441,2,Government - Hospital District or Authority,Government,Hospital District or Authority,2,934,184.57172,166.916504,1.1058
10036,1.5944,785,0.974433,1.000947,0,Proprietary,Proprietary,,3,508,102.64951,103.368053,0.993
10039,2.0152,"11,535",1.009971,1.004513,0,Government - Hospital District or Authority,Government,Hospital District or Authority,2,4939,740.626506,740.86914,0.9997
10040,1.8602,"2,418",1.049757,1.049113,0,Proprietary,Proprietary,,2,958,189.58155,189.85761,0.9985
10046,1.879,"1,909",0.941294,0.981113,1,Proprietary,Proprietary,,3,627,126.839875,125.253318,1.0127
10049,1.6346,923,0.952116,0.953078,3,Proprietary,Proprietary,,2,315,54.088185,52.480578,1.0306
10055,1.8763,"3,195",1.028246,1.006508,0,Proprietary,Proprietary,,2,1509,211.683241,216.844156,0.9762
10056,2.1284,"3,621",1.039442,1.006114,0,Voluntary non-profit - Private,Voluntary non-profit,Private,4,1895,222.225453,228.634167,0.972
10061,1.7383,561,1.009078,0.93529,4,Government - Hospital District or Authority,Government,Hospital District or Authority,1,177,30.098361,29.934261,1.0055
10065,1.6385,495,0.98923,0.880318,7,Voluntary non-profit - Private,Voluntary non-profit,Private,3,226,42.17888,42.906464,0.983
10078,1.818,"2,564",1.029918,1.025083,0,Government - Local,Government,Local,2,1212,182.865452,192.688108,0.949
