Facility ID,Measure Name,Number of Discharges,Excess Readmission Ratio,Predicted Readmission Rate,Expected Readmission Rate
10001,READM-30-HIP-KNEE-HRRP,N/A,1.0301,4.5819,4.4481
10001,READM-30-COPD-HRRP,202,0.9903,19.1885,19.3765
10001,READM-30-AMI-HRRP,319,0.9958,14.4888,14.5498
10001,READM-30-PN-HRRP,437,0.9568,17.0029,17.7701
10001,READM-30-HF-HRRP,757,1.0551,23.0374,21.8333
10001,READM-30-CABG-HRRP,165,0.9836,11.1341,11.3202
10005,READM-30-AMI-HRRP,N/A,0.9603,16.2327,16.9033
10005,READM-30-CABG-HRRP,N/A,N/A,N/A,N/A
10005,READM-30-HIP-KNEE-HRRP,N/A,0.9816,4.1113,4.1886
10005,READM-30-COPD-HRRP,235,0.9034,16.4506,18.2089
10005,READM-30-PN-HRRP,361,0.9777,15.6895,16.0472
10005,READM-30-HF-HRRP,157,1.0057,20.1475,20.0336
10006,READM-30-PN-HRRP,538,1.1525,19.0197,16.5034
10006,READM-30-COPD-HRRP,235,0.9027,16.5144,18.2945
10006,READM-30-HF-HRRP,550,0.944,19.592,20.7534
10006,READM-30-AMI-HRRP,312,1.1127,13.9536,12.5406
10006,READM-30-HIP-KNEE-HRRP,246,1.1885,4.8932,4.1172
10006,READM-30-CABG-HRRP,109,1.3316,15.9187,11.9544
10007,READM-30-COPD-HRRP,72,0.9979,18.2845,18.3236
10007,READM-30-PN-HRRP,N/A,0.9628,12.7792,13.273
10007,READM-30-HF-HRRP,51,1.1129,21.5828,19.3933
10007,READM-30-HIP-KNEE-HRRP,N/A,N/A,N/A,N/A
10007,READM-30-AMI-HRRP,N/A,N/A,N/A,N/A
10007,READM-30-CABG-HRRP,N/A,N/A,N/A,N/A
10008,READM-30-HIP-KNEE-HRRP,N/A,N/A,N/A,N/A
10008,READM-30-PN-HRRP,N/A,N/A,N/A,N/A
10008,READM-30-HF-HRRP,N/A,N/A,N/A,N/A
10008,READM-30-CABG-HRRP,N/A,N/A,N/A,N/A
10008,READM-30-AMI-HRRP,N/A,N/A,N/A,N/A
10008,READM-30-COPD-HRRP,N/A,N/A,N/A,N/A
10011,READM-30-AMI-HRRP,139,1.062,13.6151,12.8204
