Facility ID,State,Hospital Type,Hospital Ownership,Hospital Ownership2,Ownership 3,Hospital overall rating
10001,AL,Acute Care,Government - Hospital District or Authority,Government , Hospital District or Authority,3
10005,AL,Acute Care,Government - Hospital District or Authority,Government , Hospital District or Authority,2
10006,AL,Acute Care,Proprietary,Proprietary,,1
10007,AL,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,2
10008,AL,Acute Care,Proprietary,Proprietary,,Not Available
10011,AL,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,2
10012,AL,Acute Care,Proprietary,Proprietary,,3
10016,AL,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,4
10018,AL,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
10019,AL,Acute Care,Government - Hospital District or Authority,Government , Hospital District or Authority,1
10021,AL,Acute Care,Government - Hospital District or Authority,Government , Hospital District or Authority,3
10022,AL,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
10023,AL,Acute Care,Government - Hospital District or Authority,Government , Hospital District or Authority,2
10024,AL,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,1
10029,AL,Acute Care,Government - Hospital District or Authority,Government , Hospital District or Authority,2
10033,AL,Acute Care,Government - State,Government , State,3
10034,AL,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,2
10035,AL,Acute Care,Government - Hospital District or Authority,Government , Hospital District or Authority,2
10036,AL,Acute Care,Proprietary,Proprietary,,3
10039,AL,Acute Care,Government - Hospital District or Authority,Government , Hospital District or Authority,2
10040,AL,Acute Care,Proprietary,Proprietary,,2
10044,AL,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,5
10045,AL,Acute Care,Voluntary non-profit - Other,Voluntary non-profit,Other,4
10046,AL,Acute Care,Proprietary,Proprietary,,3
10049,AL,Acute Care,Proprietary,Proprietary,,2
10051,AL,Acute Care,Government - Local,Government , Local,Not Available
10052,AL,Acute Care,Proprietary,Proprietary,,Not Available
10055,AL,Acute Care,Proprietary,Proprietary,,2
10056,AL,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,4
10058,AL,Acute Care,Government - Hospital District or Authority,Government , Hospital District or Authority,Not Available
10059,AL,Acute Care,Government - Hospital District or Authority,Government , Hospital District or Authority,Not Available
10061,AL,Acute Care,Government - Hospital District or Authority,Government , Hospital District or Authority,1
10062,AL,Acute Care,Government - Hospital District or Authority,Government , Hospital District or Authority,3
10065,AL,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,3
10069,AL,Acute Care,Government - Hospital District or Authority,Government , Hospital District or Authority,Not Available
10073,AL,Acute Care,Government - Hospital District or Authority,Government , Hospital District or Authority,Not Available
10078,AL,Acute Care,Government - Local,Government , Local,2
10079,AL,Acute Care,Government - Hospital District or Authority,Government , Hospital District or Authority,4
10083,AL,Acute Care,Proprietary,Proprietary,,4
10085,AL,Acute Care,Government - Hospital District or Authority,Government , Hospital District or Authority,2
10086,AL,Acute Care,Proprietary,Proprietary,,3
10087,AL,Acute Care,Government - State,Government , State,2
10089,AL,Acute Care,Proprietary,Proprietary,,1
10090,AL,Acute Care,Voluntary non-profit - Church,Voluntary non-profit,Church,3
10091,AL,Acute Care,Government - Hospital District or Authority,Government , Hospital District or Authority,Not Available
10092,AL,Acute Care,Government - Hospital District or Authority,Government , Hospital District or Authority,1
10095,AL,Acute Care,Government - Hospital District or Authority,Government , Hospital District or Authority,Not Available
10097,AL,Acute Care,Proprietary,Proprietary,,Not Available
10099,AL,Acute Care,Government - Hospital District or Authority,Government , Hospital District or Authority,3
10100,AL,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,4
10101,AL,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,2
10102,AL,Acute Care,Voluntary non-profit - Other,Voluntary non-profit,Other,Not Available
10103,AL,Acute Care,Voluntary non-profit - Church,Voluntary non-profit,Church,3
10104,AL,Acute Care,Proprietary,Proprietary,,2
10108,AL,Acute Care,Government - Hospital District or Authority,Government , Hospital District or Authority,3
10110,AL,Acute Care,Proprietary,Proprietary,,Not Available
10112,AL,Acute Care,Government - Hospital District or Authority,Government , Hospital District or Authority,3
10113,AL,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,2
10114,AL,Acute Care,Government - Hospital District or Authority,Government , Hospital District or Authority,2
10118,AL,Acute Care,Proprietary,Proprietary,,2
10120,AL,Acute Care,Government - Hospital District or Authority,Government , Hospital District or Authority,Not Available
10125,AL,Acute Care,Voluntary non-profit - Church,Voluntary non-profit,Church,4
10126,AL,Acute Care,Government - Federal,Government , Federal,3
10128,AL,Acute Care,Proprietary,Proprietary,,Not Available
10129,AL,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
10130,AL,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,2
10131,AL,Acute Care,Proprietary,Proprietary,,3
10138,AL,Acute Care,Government - Hospital District or Authority,Government , Hospital District or Authority,Not Available
10139,AL,Acute Care,Proprietary,Proprietary,,2
10144,AL,Acute Care,Proprietary,Proprietary,,2
10148,AL,Acute Care,Proprietary,Proprietary,,2
10149,AL,Acute Care,Government - Hospital District or Authority,Government , Hospital District or Authority,3
01014F,AL,Acute Care,Veterans Health Administration,Government ,Veterans Health Adminstration,3
10150,AL,Acute Care,Proprietary,Proprietary,,3
10157,AL,Acute Care,Proprietary,Proprietary,,Not Available
10158,AL,Acute Care,Proprietary,Proprietary,,2
10164,AL,Acute Care,Government - Hospital District or Authority,Government , Hospital District or Authority,3
10168,AL,Acute Care,Government - State,Government , State,4
10169,AL,Acute Care,Government - Hospital District or Authority,Government , Hospital District or Authority,4
10173,AL,Acute Care,Voluntary non-profit - Church,Voluntary non-profit,Church,Not Available
10174,AL,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
10175,AL,Acute Care,Government - Hospital District or Authority,Government , Hospital District or Authority,Not Available
01019F,AL,Acute Care,Veterans Health Administration,Government ,Veterans Health Adminstration,4
01021F,AL,Acute Care,Veterans Health Administration,Government ,Veterans Health Adminstration,Not Available
11300,AL,Critical Access Hospitals,Government - Local,Government , Local,Not Available
11302,AL,Critical Access Hospitals,Government - Hospital District or Authority,Government , Hospital District or Authority,Not Available
11304,AL,Critical Access Hospitals,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
11305,AL,Critical Access Hospitals,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
11306,AL,Critical Access Hospitals,Government - Hospital District or Authority,Government , Hospital District or Authority,Not Available
13300,AL,Childrens,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
13301,AL,Childrens,Government - State,Government , State,Not Available
14000,AL,Psychiatric,Proprietary,Proprietary,,Not Available
14006,AL,Psychiatric,Proprietary,Proprietary,,Not Available
14007,AL,Psychiatric,Government - State,Government , State,Not Available
14012,AL,Psychiatric,Government - State,Government , State,Not Available
14014,AL,Psychiatric,Voluntary non-profit - Other,Voluntary non-profit,Other,Not Available
14015,AL,Psychiatric,Proprietary,Proprietary,,Not Available
14016,AL,Psychiatric,Proprietary,Proprietary,,Not Available
14017,AL,Psychiatric,Voluntary non-profit - Other,Voluntary non-profit,Other,Not Available
14018,AL,Psychiatric,Proprietary,Proprietary,,Not Available
20001,AK,Acute Care,Voluntary non-profit - Church,Voluntary non-profit,Church,2
20006,AK,Acute Care,Voluntary non-profit - Other,Voluntary non-profit,Other,2
20008,AK,Acute Care,Government - Local,Government , Local,4
20012,AK,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,3
20017,AK,Acute Care,Proprietary,Proprietary,,3
20018,AK,Acute Care,Tribal,Tribal,,Not Available
20024,AK,Acute Care,Voluntary non-profit - Other,Voluntary non-profit,Other,1
20026,AK,Acute Care,Government - Federal,Government , Federal,3
02013F,AK,Acute Care,Department of Defense,Government ,Department of Defense,Not Available
02014F,AK,Acute Care,Department of Defense,Government ,Department of Defense,Not Available
21301,AK,Critical Access Hospitals,Government - Local,Government , Local,Not Available
21302,AK,Critical Access Hospitals,Government - Local,Government , Local,Not Available
21304,AK,Critical Access Hospitals,Government - Local,Government , Local,Not Available
21305,AK,Critical Access Hospitals,Tribal,Tribal,,Not Available
21306,AK,Critical Access Hospitals,Voluntary non-profit - Church,Voluntary non-profit,Church,Not Available
21307,AK,Critical Access Hospitals,Government - Local,Government , Local,Not Available
21308,AK,Critical Access Hospitals,Tribal,Tribal,,Not Available
21309,AK,Critical Access Hospitals,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
21310,AK,Critical Access Hospitals,Tribal,Tribal,,Not Available
21311,AK,Critical Access Hospitals,Voluntary non-profit - Church,Voluntary non-profit,Church,Not Available
21312,AK,Critical Access Hospitals,Tribal,Tribal,,Not Available
21313,AK,Critical Access Hospitals,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
21314,AK,Critical Access Hospitals,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
24001,AK,Psychiatric,Proprietary,Proprietary,,Not Available
24002,AK,Psychiatric,Government - State,Government , State,Not Available
30002,AZ,Acute Care,Voluntary non-profit - Other,Voluntary non-profit,Other,3
30006,AZ,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,3
30007,AZ,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,4
30010,AZ,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,2
30011,AZ,Acute Care,Voluntary non-profit - Other,Voluntary non-profit,Other,3
30012,AZ,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,2
30013,AZ,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,2
30014,AZ,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,3
30016,AZ,Acute Care,Voluntary non-profit - Other,Voluntary non-profit,Other,2
30022,AZ,Acute Care,Government - Local,Government , Local,3
30023,AZ,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,3
30024,AZ,Acute Care,Voluntary non-profit - Church,Voluntary non-profit,Church,3
30030,AZ,Acute Care,Physician,Physician,,2
30036,AZ,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,4
30037,AZ,Acute Care,Proprietary,Proprietary,,2
30038,AZ,Acute Care,Proprietary,Proprietary,,3
30043,AZ,Acute Care,Voluntary non-profit - Other,Voluntary non-profit,Other,3
30055,AZ,Acute Care,Government - Hospital District or Authority,Government , Hospital District or Authority,3
30061,AZ,Acute Care,Voluntary non-profit - Other,Voluntary non-profit,Other,3
30062,AZ,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,5
30064,AZ,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,3
30065,AZ,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,2
30069,AZ,Acute Care,Proprietary,Proprietary,,2
30071,AZ,Acute Care,Tribal,Tribal,,Not Available
30073,AZ,Acute Care,Voluntary non-profit - Other,Voluntary non-profit,Other,2
30074,AZ,Acute Care,Tribal,Tribal,,Not Available
30077,AZ,Acute Care,Government - Federal,Government , Federal,Not Available
30078,AZ,Acute Care,Government - Federal,Government , Federal,Not Available
30083,AZ,Acute Care,Proprietary,Proprietary,,1
30084,AZ,Acute Care,Government - Federal,Government , Federal,Not Available
30085,AZ,Acute Care,Proprietary,Proprietary,,1
30087,AZ,Acute Care,Proprietary,Proprietary,,3
30088,AZ,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,2
30089,AZ,Acute Care,Government - Hospital District or Authority,Government , Hospital District or Authority,3
30092,AZ,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,3
30093,AZ,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,3
30094,AZ,Acute Care,Proprietary,Proprietary,,3
30101,AZ,Acute Care,Proprietary,Proprietary,,1
30103,AZ,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,5
30105,AZ,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,4
30107,AZ,Acute Care,Physician,Physician,,Not Available
30108,AZ,Acute Care,Physician,Physician,,Not Available
30110,AZ,Acute Care,Proprietary,Proprietary,,2
30111,AZ,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,4
30112,AZ,Acute Care,Proprietary,Proprietary,,Not Available
30113,AZ,Acute Care,Government - Federal,Government , Federal,Not Available
30114,AZ,Acute Care,Proprietary,Proprietary,,3
30115,AZ,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,2
30117,AZ,Acute Care,Proprietary,Proprietary,,1
30119,AZ,Acute Care,Voluntary non-profit - Church,Voluntary non-profit,Church,4
30121,AZ,Acute Care,Proprietary,Proprietary,,1
30122,AZ,Acute Care,Voluntary non-profit - Other,Voluntary non-profit,Other,3
30123,AZ,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,5
03012F,AZ,Acute Care,Veterans Health Administration,Government ,Veterans Health Adminstration,4
30130,AZ,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,2
30131,AZ,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
30134,AZ,Acute Care,Voluntary non-profit - Other,Voluntary non-profit,Other,Not Available
30136,AZ,Acute Care,Proprietary,Proprietary,,Not Available
30138,AZ,Acute Care,Proprietary,Proprietary,,Not Available
30139,AZ,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,5
03013F,AZ,Acute Care,Veterans Health Administration,Government ,Veterans Health Adminstration,3
30146,AZ,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
30147,AZ,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
30148,AZ,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
30152,AZ,Acute Care,Proprietary,Proprietary,,Not Available
03033F,AZ,Acute Care,Veterans Health Administration,Government ,Veterans Health Adminstration,5
31300,AZ,Critical Access Hospitals,Voluntary non-profit - Other,Voluntary non-profit,Other,Not Available
31301,AZ,Critical Access Hospitals,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
31302,AZ,Critical Access Hospitals,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
31304,AZ,Critical Access Hospitals,Government - Hospital District or Authority,Government , Hospital District or Authority,Not Available
31305,AZ,Critical Access Hospitals,Tribal,Tribal,,Not Available
31307,AZ,Critical Access Hospitals,Government - Federal,Government , Federal,Not Available
31308,AZ,Critical Access Hospitals,Government - Federal,Government , Federal,Not Available
31309,AZ,Critical Access Hospitals,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
31311,AZ,Critical Access Hospitals,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
31312,AZ,Critical Access Hospitals,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
31313,AZ,Critical Access Hospitals,Proprietary,Proprietary,,Not Available
31314,AZ,Critical Access Hospitals,Voluntary non-profit - Private,Voluntary non-profit,Private,4
31315,AZ,Critical Access Hospitals,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
31317,AZ,Critical Access Hospitals,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
31318,AZ,Critical Access Hospitals,Voluntary non-profit - Other,Voluntary non-profit,Other,2
31319,AZ,Critical Access Hospitals,Government - Hospital District or Authority,Government , Hospital District or Authority,Not Available
33302,AZ,Childrens,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
34004,AZ,Psychiatric,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
34013,AZ,Psychiatric,Proprietary,Proprietary,,Not Available
34020,AZ,Psychiatric,Proprietary,Proprietary,,Not Available
34021,AZ,Psychiatric,Government - State,Government , State,Not Available
34022,AZ,Psychiatric,Proprietary,Proprietary,,Not Available
