Facility ID,MSPB-1 Baseline Rate,MSPB-1 Performance Rate,MSPB-1 Achievement Points,MSPB-1 Improvement Points
10001,1.020251,1.016841,0,0
10005,1.011867,0.95781,2,3
10006,1.016924,0.994638,0,1
10007,1.110418,1.016687,0,3
10011,1.029416,0.993673,0,1
10012,0.977056,0.997522,0,0
10016,1.043276,1.017997,0,1
10019,1.089104,1.054691,0,1
10021,1.073415,1.008424,0,2
10023,1.02222,1.063343,0,0
10024,1.028768,1.038753,0,0
10033,0.976693,0.979236,1,0
10035,0.991098,0.958441,2,2
10036,0.974433,1.000947,0,0
10039,1.009971,1.004513,0,0
10040,1.049757,1.049113,0,0
10045,0.924763,0.867666,8,7
10046,0.941294,0.981113,1,0
10049,0.952116,0.953078,3,0
10055,1.028246,1.006508,0,1
10056,1.039442,1.006114,0,1
10061,1.009078,0.93529,4,4
10065,0.98923,0.880318,7,7
10069,1.013255,0.99344,0,1
10078,1.029918,1.025083,0,0
10079,0.963704,0.927666,4,3
10083,0.951887,0.953975,3,0
10085,0.985957,0.93273,4,3
10086,1.017158,0.958147,2,3
10089,1.014207,0.947619,3,3
10090,0.975794,0.951326,3,1
10092,0.98874,0.998271,0,0
10099,1.003518,0.94024,3,3
10100,0.956337,0.952497,3,0
10101,0.955343,0.975229,1,0
10103,1.014047,1.039992,0,0
10104,1.023866,1.013409,0,0
10108,0.947684,0.978932,1,0
10112,0.901927,0.952644,3,0
10113,0.996281,1.007834,0,0
10114,1.01349,0.971067,2,2
10118,0.98183,1.016747,0,0
10120,1.088242,0.971215,2,4
10125,0.916808,0.958551,2,0
10129,0.953056,1.025667,0,0
10130,0.927035,0.858545,9,8
10131,0.958595,0.94288,3,1
10139,1.079399,1.090598,0,0
10144,0.960405,0.954442,3,0
10148,0.916417,0.846823,9,9
10149,0.988409,0.984565,1,0
10158,0.976946,0.971228,2,0
10164,0.978418,0.934726,4,3
20001,0.92311,0.943078,3,0
20006,0.826209,0.885173,7,0
20008,0.938032,0.939556,4,0
20012,0.823364,0.828086,10,0
20017,0.896693,0.910567,5,0
20018,0.779392,0.80562,10,0
20024,0.861511,0.903721,6,0
20026,0.909977,0.917214,5,0
30002,0.972572,1.040253,0,0
30006,1.022003,1.012389,0,0
30007,0.969518,0.981957,1,0
30010,1.012152,1.018305,0,0
30011,1.035693,1.017444,0,0
30012,0.991372,0.999979,0,0
30013,0.980213,1.009932,0,0
30014,0.993993,0.989206,0,0
30016,0.955324,0.921096,5,3
30022,0.988226,1.050278,0,0
30023,1.015037,1.020631,0,0
30024,0.99608,1.017782,0,0
30030,1.035721,1.001801,0,1
30036,1.042383,1.055747,0,0
30037,0.978249,1.018818,0,0
30038,1.004937,0.993029,0,0
30043,0.92716,0.941515,3,0
30055,0.908515,0.931308,4,0
30061,0.945246,0.964587,2,0
30062,0.88061,0.929667,4,0
30064,1.009342,1.000083,0,0
30065,1.034337,1.03258,0,0
30069,0.946672,0.96178,2,0
